City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
445,Morgan City,US,2022-02-06 15:06:17,29.6994,-91.2068,Clear,clear sky,45.0,87,0,4.61,0.0,0.0
446,Kupang,ID,2022-02-06 15:06:18,-10.1667,123.5833,Clouds,broken clouds,80.1,85,80,7.16,0.0,0.0
447,Puerto Asis,CO,2022-02-06 15:06:18,0.5133,-76.5007,Clouds,overcast clouds,77.56,94,99,1.07,0.0,0.0
448,Qaqortoq,GL,2022-02-06 15:06:18,60.7167,-46.0333,Clouds,overcast clouds,7.3,54,100,4.29,0.0,0.0
449,Hambantota,LK,2022-02-06 15:06:19,6.1241,81.1185,Clouds,scattered clouds,80.94,89,40,0.0,0.0,0.0
450,Umea,SE,2022-02-06 15:06:19,63.8284,20.2597,Clouds,overcast clouds,31.93,100,100,4.61,0.0,0.0
451,Sars,RU,2022-02-06 15:06:19,56.5502,57.1366,Clouds,overcast clouds,20.64,90,100,8.16,0.0,0.0
452,Mangrol,IN,2022-02-06 15:06:20,21.1167,70.1167,Clear,clear sky,68.95,65,6,8.52,0.0,0.0
453,Waipawa,NZ,2022-02-06 15:06:20,-41.4122,175.5153,Clouds,overcast clouds,56.44,80,100,11.27,0.0,0.0
454,Buarcos,PT,2022-02-06 15:06:21,40.166,-8.8768,Clouds,scattered clouds,69.24,46,40,11.9,0.0,0.0
455,Ancud,CL,2022-02-06 15:02:10,-41.8697,-73.8203,Clear,clear sky,73.22,67,9,4.94,0.0,0.0
456,Auburn,US,2022-02-06 15:01:42,47.3073,-122.2284,Fog,fog,41.58,94,100,8.05,0.0,0.0
457,Lahti,RU,2022-02-06 15:06:21,59.9911,30.1597,Snow,light snow,34.99,90,100,13.65,0.0,0.0
458,Husavik,IS,2022-02-06 15:06:21,66.0449,-17.3389,Snow,light snow,25.68,86,100,16.42,0.0,0.0
459,Yining,CN,2022-02-06 15:06:22,29.0361,114.5636,Rain,light rain,37.02,92,100,3.44,0.0,0.0
460,Kafue,ZM,2022-02-06 15:06:22,-15.7691,28.1814,Clouds,overcast clouds,65.12,95,100,5.55,0.0,0.0
461,Umm Lajj,SA,2022-02-06 15:02:11,25.0213,37.2685,Clear,clear sky,71.98,42,0,23.64,0.0,0.0
462,Williston,US,2022-02-06 15:03:25,48.147,-103.618,Clouds,overcast clouds,29.91,82,86,3.83,0.0,0.0
463,Polunochnoye,RU,2022-02-06 15:06:23,60.8697,60.4153,Snow,light snow,7.32,96,100,5.88,0.0,0.0
464,Mehamn,NO,2022-02-06 15:06:23,71.0357,27.8492,Clear,clear sky,24.75,86,0,33.38,0.0,0.0
465,Fevik,NO,2022-02-06 15:06:23,58.3794,8.6766,Clouds,overcast clouds,36.09,73,85,14.12,0.0,0.0
466,Yashan,CN,2022-02-06 15:06:24,22.1975,109.9419,Clouds,overcast clouds,61.0,83,99,4.14,0.0,0.0
467,Tulum,MX,2022-02-06 15:06:24,20.2167,-87.4667,Clouds,scattered clouds,75.25,75,35,8.14,0.0,0.0
468,Anakapalle,IN,2022-02-06 15:06:24,17.6833,83.0167,Clouds,broken clouds,75.15,67,54,0.43,0.0,0.0
469,Kuala Lipis,MY,2022-02-06 15:06:25,4.1842,102.0468,Clouds,overcast clouds,72.97,97,100,1.5,0.0,0.0
470,Huarmey,PE,2022-02-06 15:06:25,-10.0681,-78.1522,Clouds,broken clouds,73.45,76,76,8.25,0.0,0.0
471,Innisfail,AU,2022-02-06 15:06:25,-17.5333,146.0333,Clouds,broken clouds,73.0,89,71,4.65,0.0,0.0
472,Geraldton,AU,2022-02-06 15:06:26,-28.7667,114.6,Clouds,broken clouds,70.21,60,75,14.97,0.0,0.0
473,Suntar,RU,2022-02-06 15:06:26,62.1444,117.6319,Clouds,overcast clouds,2.97,98,100,2.21,0.0,0.0
474,Saint-Francois,FR,2022-02-06 15:06:26,46.4154,3.9054,Clouds,overcast clouds,47.64,69,100,13.8,0.0,0.0
475,Orlovskiy,RU,2022-02-06 15:06:27,46.8714,42.0592,Snow,snow,32.59,99,100,5.46,0.0,0.0
476,Tyrma,RU,2022-02-06 15:06:27,50.0833,132.1667,Clouds,overcast clouds,-11.0,100,99,0.54,0.0,0.0
477,Muzhi,RU,2022-02-06 15:06:27,65.3667,64.6667,Clouds,broken clouds,-18.58,100,75,0.6,0.0,0.0
478,Kropotkin,RU,2022-02-06 15:06:28,45.4375,40.5756,Snow,snow,33.26,98,100,18.25,0.0,0.0
479,Marquette,US,2022-02-06 15:06:28,46.5333,-87.6335,Clouds,scattered clouds,17.67,79,42,6.82,0.0,0.0
480,Kaluga,RU,2022-02-06 15:06:29,54.5,35.5,Clouds,broken clouds,29.71,96,69,7.7,0.0,0.0
481,Acari,PE,2022-02-06 15:06:29,-15.4311,-74.6158,Clouds,overcast clouds,78.73,59,85,7.49,0.0,0.0
482,Presidencia Roque Saenz Pena,AR,2022-02-06 15:06:29,-26.7852,-60.4388,Clear,clear sky,80.98,33,9,11.72,0.0,0.0
483,Loudi,CN,2022-02-06 15:06:30,27.7344,111.9944,Rain,light rain,37.51,91,100,4.09,0.0,0.0
484,Clinton,US,2022-02-06 15:06:30,42.587,-82.9199,Clear,clear sky,23.77,76,0,3.0,0.0,0.0
485,Whitianga,NZ,2022-02-06 15:06:30,-36.8333,175.7,Rain,light rain,65.01,99,100,10.54,0.0,0.0
486,Sao Felix Do Xingu,BR,2022-02-06 15:06:31,-6.6447,-51.995,Clouds,overcast clouds,87.35,61,97,1.81,0.0,0.0
487,Caxias,PT,2022-02-06 15:06:31,38.7031,-9.2767,Clear,clear sky,69.6,40,0,1.99,0.0,0.0
488,Ahlat,TR,2022-02-06 15:06:31,38.7518,42.4814,Clouds,overcast clouds,20.19,77,99,3.83,0.0,0.0
489,Wagar,SD,2022-02-06 15:06:32,16.1525,36.2032,Clear,clear sky,81.99,18,0,13.31,0.0,0.0
490,Troyes,FR,2022-02-06 15:06:32,48.3333,4.0833,Clouds,overcast clouds,48.25,87,100,28.77,0.0,0.0
491,Delhi,IN,2022-02-06 15:06:32,28.6667,77.2167,Haze,haze,62.31,67,0,4.61,0.0,0.0
492,Tucurui,BR,2022-02-06 15:05:07,-3.7661,-49.6725,Rain,light rain,82.87,80,78,3.02,0.0,0.0
493,Jalu,LY,2022-02-06 15:06:33,29.0331,21.5482,Clear,clear sky,69.89,19,3,3.27,0.0,0.0
494,Tlalchapa,MX,2022-02-06 15:06:33,18.4,-100.4667,Clear,clear sky,76.05,40,0,1.12,0.0,0.0
495,Karaton,ID,2022-02-06 15:06:34,-6.3424,106.1045,Clouds,overcast clouds,77.16,93,91,4.07,0.0,0.0
496,Fortuna Foothills,US,2022-02-06 15:06:34,32.6578,-114.4119,Clear,clear sky,47.55,26,4,5.44,0.0,0.0
497,Qui Nhon,VN,2022-02-06 15:05:30,13.7667,109.2333,Clouds,overcast clouds,72.16,91,100,7.92,0.0,0.0
498,Hualmay,PE,2022-02-06 15:06:35,-11.0964,-77.6139,Clouds,overcast clouds,72.59,74,96,7.36,0.0,0.0
499,Samarai,PG,2022-02-06 15:06:35,-10.6167,150.6667,Clouds,overcast clouds,81.5,80,100,14.32,0.0,0.0
500,Srednekolymsk,RU,2022-02-06 15:06:35,67.45,153.6833,Clouds,broken clouds,-36.8,100,58,1.05,0.0,0.0
501,Lokoja,NG,2022-02-06 15:06:36,7.8024,6.743,Clear,clear sky,100.81,9,1,6.89,0.0,0.0
502,Vanimo,PG,2022-02-06 15:06:36,-2.6741,141.3028,Clouds,broken clouds,78.75,85,83,4.9,0.0,0.0
503,Arona,ES,2022-02-06 15:06:36,28.0996,-16.681,Clear,clear sky,72.91,38,0,1.99,0.0,0.0
504,Ponta Delgada,PT,2022-02-06 15:06:37,37.7333,-25.6667,Clouds,scattered clouds,63.32,82,40,14.97,0.0,0.0
505,Katsuura,JP,2022-02-06 15:06:37,35.1333,140.3,Clear,clear sky,35.71,43,4,14.25,0.0,0.0
